cnpj,numero,periodo,data_emissao,vencimento,situacao,valor_total,valor_principal,valor_multa,valor_juros,pago_em,banco,agencia,valor_pago,tributo,tributo_valor_principal,tributo_valor_juros,tributo_valor_multa
12345678000190,GUIA-201903-01,03/2019,2019-03-10,2019-03-20,Quitada,2000.00,1800.00,100.00,100.00,2019-03-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201903-02,03/2019,2019-03-10,2019-03-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201903-03,03/2019,2019-03-10,2019-03-20,Quitada,2600.00,2340.00,130.00,130.00,2019-03-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201903-04,03/2019,2019-03-10,2019-03-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201903-05,03/2019,2019-03-10,2019-03-20,Quitada,3200.00,2880.00,160.00,160.00,2019-03-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201904-01,04/2019,2019-04-10,2019-04-20,Quitada,2000.00,1800.00,100.00,100.00,2019-04-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201904-02,04/2019,2019-04-10,2019-04-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201904-03,04/2019,2019-04-10,2019-04-20,Quitada,2600.00,2340.00,130.00,130.00,2019-04-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201904-04,04/2019,2019-04-10,2019-04-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201904-05,04/2019,2019-04-10,2019-04-20,Quitada,3200.00,2880.00,160.00,160.00,2019-04-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201905-01,05/2019,2019-05-10,2019-05-20,Quitada,2000.00,1800.00,100.00,100.00,2019-05-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201905-02,05/2019,2019-05-10,2019-05-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201905-03,05/2019,2019-05-10,2019-05-20,Quitada,2600.00,2340.00,130.00,130.00,2019-05-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201905-04,05/2019,2019-05-10,2019-05-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201905-05,05/2019,2019-05-10,2019-05-20,Quitada,3200.00,2880.00,160.00,160.00,2019-05-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201905-01,05/2019,2019-05-10,2019-05-20,Quitada,2000.00,1800.00,100.00,100.00,2019-05-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201905-02,05/2019,2019-05-10,2019-05-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201905-03,05/2019,2019-05-10,2019-05-20,Quitada,2600.00,2340.00,130.00,130.00,2019-05-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201905-04,05/2019,2019-05-10,2019-05-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201905-05,05/2019,2019-05-10,2019-05-20,Quitada,3200.00,2880.00,160.00,160.00,2019-05-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201906-01,06/2019,2019-06-10,2019-06-20,Quitada,2000.00,1800.00,100.00,100.00,2019-06-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201906-02,06/2019,2019-06-10,2019-06-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201906-03,06/2019,2019-06-10,2019-06-20,Quitada,2600.00,2340.00,130.00,130.00,2019-06-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201906-04,06/2019,2019-06-10,2019-06-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201906-05,06/2019,2019-06-10,2019-06-20,Quitada,3200.00,2880.00,160.00,160.00,2019-06-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201907-01,07/2019,2019-07-10,2019-07-20,Quitada,2000.00,1800.00,100.00,100.00,2019-07-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201907-02,07/2019,2019-07-10,2019-07-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201907-03,07/2019,2019-07-10,2019-07-20,Quitada,2600.00,2340.00,130.00,130.00,2019-07-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201907-04,07/2019,2019-07-10,2019-07-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201907-05,07/2019,2019-07-10,2019-07-20,Quitada,3200.00,2880.00,160.00,160.00,2019-07-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201908-01,08/2019,2019-08-10,2019-08-20,Quitada,2000.00,1800.00,100.00,100.00,2019-08-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201908-02,08/2019,2019-08-10,2019-08-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201908-03,08/2019,2019-08-10,2019-08-20,Quitada,2600.00,2340.00,130.00,130.00,2019-08-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201908-04,08/2019,2019-08-10,2019-08-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201908-05,08/2019,2019-08-10,2019-08-20,Quitada,3200.00,2880.00,160.00,160.00,2019-08-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201909-01,09/2019,2019-09-10,2019-09-20,Quitada,2000.00,1800.00,100.00,100.00,2019-09-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201909-02,09/2019,2019-09-10,2019-09-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201909-03,09/2019,2019-09-10,2019-09-20,Quitada,2600.00,2340.00,130.00,130.00,2019-09-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201909-04,09/2019,2019-09-10,2019-09-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201909-05,09/2019,2019-09-10,2019-09-20,Quitada,3200.00,2880.00,160.00,160.00,2019-09-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201910-01,10/2019,2019-10-10,2019-10-20,Quitada,2000.00,1800.00,100.00,100.00,2019-10-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201910-02,10/2019,2019-10-10,2019-10-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201910-03,10/2019,2019-10-10,2019-10-20,Quitada,2600.00,2340.00,130.00,130.00,2019-10-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201910-04,10/2019,2019-10-10,2019-10-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201910-05,10/2019,2019-10-10,2019-10-20,Quitada,3200.00,2880.00,160.00,160.00,2019-10-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201911-01,11/2019,2019-11-10,2019-11-20,Quitada,2000.00,1800.00,100.00,100.00,2019-11-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201911-02,11/2019,2019-11-10,2019-11-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201911-03,11/2019,2019-11-10,2019-11-20,Quitada,2600.00,2340.00,130.00,130.00,2019-11-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201911-04,11/2019,2019-11-10,2019-11-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201911-05,11/2019,2019-11-10,2019-11-20,Quitada,3200.00,2880.00,160.00,160.00,2019-11-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-201912-01,12/2019,2019-12-10,2019-12-20,Quitada,2000.00,1800.00,100.00,100.00,2019-12-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-201912-02,12/2019,2019-12-10,2019-12-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-201912-03,12/2019,2019-12-10,2019-12-20,Quitada,2600.00,2340.00,130.00,130.00,2019-12-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-201912-04,12/2019,2019-12-10,2019-12-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-201912-05,12/2019,2019-12-10,2019-12-20,Quitada,3200.00,2880.00,160.00,160.00,2019-12-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202001-01,01/2020,2020-01-10,2020-01-20,Quitada,2000.00,1800.00,100.00,100.00,2020-01-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202001-02,01/2020,2020-01-10,2020-01-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202001-03,01/2020,2020-01-10,2020-01-20,Quitada,2600.00,2340.00,130.00,130.00,2020-01-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202001-04,01/2020,2020-01-10,2020-01-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202001-05,01/2020,2020-01-10,2020-01-20,Quitada,3200.00,2880.00,160.00,160.00,2020-01-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202002-01,02/2020,2020-02-10,2020-02-20,Quitada,2000.00,1800.00,100.00,100.00,2020-02-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202002-02,02/2020,2020-02-10,2020-02-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202002-03,02/2020,2020-02-10,2020-02-20,Quitada,2600.00,2340.00,130.00,130.00,2020-02-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202002-04,02/2020,2020-02-10,2020-02-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202002-05,02/2020,2020-02-10,2020-02-20,Quitada,3200.00,2880.00,160.00,160.00,2020-02-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202003-01,03/2020,2020-03-10,2020-03-20,Quitada,2000.00,1800.00,100.00,100.00,2020-03-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202003-02,03/2020,2020-03-10,2020-03-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202003-03,03/2020,2020-03-10,2020-03-20,Quitada,2600.00,2340.00,130.00,130.00,2020-03-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202003-04,03/2020,2020-03-10,2020-03-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202003-05,03/2020,2020-03-10,2020-03-20,Quitada,3200.00,2880.00,160.00,160.00,2020-03-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202004-01,04/2020,2020-04-10,2020-04-20,Quitada,2000.00,1800.00,100.00,100.00,2020-04-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202004-02,04/2020,2020-04-10,2020-04-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202004-03,04/2020,2020-04-10,2020-04-20,Quitada,2600.00,2340.00,130.00,130.00,2020-04-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202004-04,04/2020,2020-04-10,2020-04-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202004-05,04/2020,2020-04-10,2020-04-20,Quitada,3200.00,2880.00,160.00,160.00,2020-04-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202005-01,05/2020,2020-05-10,2020-05-20,Quitada,2000.00,1800.00,100.00,100.00,2020-05-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202005-02,05/2020,2020-05-10,2020-05-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202005-03,05/2020,2020-05-10,2020-05-20,Quitada,2600.00,2340.00,130.00,130.00,2020-05-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202005-04,05/2020,2020-05-10,2020-05-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202005-05,05/2020,2020-05-10,2020-05-20,Quitada,3200.00,2880.00,160.00,160.00,2020-05-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202006-01,06/2020,2020-06-10,2020-06-20,Quitada,2000.00,1800.00,100.00,100.00,2020-06-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202006-02,06/2020,2020-06-10,2020-06-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202006-03,06/2020,2020-06-10,2020-06-20,Quitada,2600.00,2340.00,130.00,130.00,2020-06-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202006-04,06/2020,2020-06-10,2020-06-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202006-05,06/2020,2020-06-10,2020-06-20,Quitada,3200.00,2880.00,160.00,160.00,2020-06-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202007-01,07/2020,2020-07-10,2020-07-20,Quitada,2000.00,1800.00,100.00,100.00,2020-07-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202007-02,07/2020,2020-07-10,2020-07-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202007-03,07/2020,2020-07-10,2020-07-20,Quitada,2600.00,2340.00,130.00,130.00,2020-07-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202007-04,07/2020,2020-07-10,2020-07-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202007-05,07/2020,2020-07-10,2020-07-20,Quitada,3200.00,2880.00,160.00,160.00,2020-07-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202008-01,08/2020,2020-08-10,2020-08-20,Quitada,2000.00,1800.00,100.00,100.00,2020-08-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202008-02,08/2020,2020-08-10,2020-08-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202008-03,08/2020,2020-08-10,2020-08-20,Quitada,2600.00,2340.00,130.00,130.00,2020-08-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202008-04,08/2020,2020-08-10,2020-08-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202008-05,08/2020,2020-08-10,2020-08-20,Quitada,3200.00,2880.00,160.00,160.00,2020-08-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202009-01,09/2020,2020-09-10,2020-09-20,Quitada,2000.00,1800.00,100.00,100.00,2020-09-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202009-02,09/2020,2020-09-10,2020-09-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202009-03,09/2020,2020-09-10,2020-09-20,Quitada,2600.00,2340.00,130.00,130.00,2020-09-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202009-04,09/2020,2020-09-10,2020-09-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202009-05,09/2020,2020-09-10,2020-09-20,Quitada,3200.00,2880.00,160.00,160.00,2020-09-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202010-01,10/2020,2020-10-10,2020-10-20,Quitada,2000.00,1800.00,100.00,100.00,2020-10-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202010-02,10/2020,2020-10-10,2020-10-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202010-03,10/2020,2020-10-10,2020-10-20,Quitada,2600.00,2340.00,130.00,130.00,2020-10-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202010-04,10/2020,2020-10-10,2020-10-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202010-05,10/2020,2020-10-10,2020-10-20,Quitada,3200.00,2880.00,160.00,160.00,2020-10-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202011-01,11/2020,2020-11-10,2020-11-20,Quitada,2000.00,1800.00,100.00,100.00,2020-11-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202011-02,11/2020,2020-11-10,2020-11-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202011-03,11/2020,2020-11-10,2020-11-20,Quitada,2600.00,2340.00,130.00,130.00,2020-11-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202011-04,11/2020,2020-11-10,2020-11-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202011-05,11/2020,2020-11-10,2020-11-20,Quitada,3200.00,2880.00,160.00,160.00,2020-11-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202012-01,12/2020,2020-12-10,2020-12-20,Quitada,2000.00,1800.00,100.00,100.00,2020-12-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202012-02,12/2020,2020-12-10,2020-12-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202012-03,12/2020,2020-12-10,2020-12-20,Quitada,2600.00,2340.00,130.00,130.00,2020-12-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202012-04,12/2020,2020-12-10,2020-12-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202012-05,12/2020,2020-12-10,2020-12-20,Quitada,3200.00,2880.00,160.00,160.00,2020-12-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202101-01,01/2021,2021-01-10,2021-01-20,Quitada,2000.00,1800.00,100.00,100.00,2021-01-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202101-02,01/2021,2021-01-10,2021-01-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202101-03,01/2021,2021-01-10,2021-01-20,Quitada,2600.00,2340.00,130.00,130.00,2021-01-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202101-04,01/2021,2021-01-10,2021-01-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202101-05,01/2021,2021-01-10,2021-01-20,Quitada,3200.00,2880.00,160.00,160.00,2021-01-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202102-01,02/2021,2021-02-10,2021-02-20,Quitada,2000.00,1800.00,100.00,100.00,2021-02-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202102-02,02/2021,2021-02-10,2021-02-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202102-03,02/2021,2021-02-10,2021-02-20,Quitada,2600.00,2340.00,130.00,130.00,2021-02-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202102-04,02/2021,2021-02-10,2021-02-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202102-05,02/2021,2021-02-10,2021-02-20,Quitada,3200.00,2880.00,160.00,160.00,2021-02-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202103-01,03/2021,2021-03-10,2021-03-20,Quitada,2000.00,1800.00,100.00,100.00,2021-03-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202103-02,03/2021,2021-03-10,2021-03-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202103-03,03/2021,2021-03-10,2021-03-20,Quitada,2600.00,2340.00,130.00,130.00,2021-03-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202103-04,03/2021,2021-03-10,2021-03-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202103-05,03/2021,2021-03-10,2021-03-20,Quitada,3200.00,2880.00,160.00,160.00,2021-03-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202104-01,04/2021,2021-04-10,2021-04-20,Quitada,2000.00,1800.00,100.00,100.00,2021-04-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202104-02,04/2021,2021-04-10,2021-04-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202104-03,04/2021,2021-04-10,2021-04-20,Quitada,2600.00,2340.00,130.00,130.00,2021-04-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202104-04,04/2021,2021-04-10,2021-04-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202104-05,04/2021,2021-04-10,2021-04-20,Quitada,3200.00,2880.00,160.00,160.00,2021-04-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202105-01,05/2021,2021-05-10,2021-05-20,Quitada,2000.00,1800.00,100.00,100.00,2021-05-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202105-02,05/2021,2021-05-10,2021-05-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202105-03,05/2021,2021-05-10,2021-05-20,Quitada,2600.00,2340.00,130.00,130.00,2021-05-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202105-04,05/2021,2021-05-10,2021-05-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202105-05,05/2021,2021-05-10,2021-05-20,Quitada,3200.00,2880.00,160.00,160.00,2021-05-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202106-01,06/2021,2021-06-10,2021-06-20,Quitada,2000.00,1800.00,100.00,100.00,2021-06-18,001,0001,2000,ISS,1800.00,100.00,100.00
98765432000110,GUIA-202106-02,06/2021,2021-06-10,2021-06-20,Em Aberto,2300.00,2070.00,115.00,115.00,,001,0001,0,ISS,2070.00,115.00,115.00
11223344000155,GUIA-202106-03,06/2021,2021-06-10,2021-06-20,Quitada,2600.00,2340.00,130.00,130.00,2021-06-18,001,0001,2600,ISS,2340.00,130.00,130.00
99887766000122,GUIA-202106-04,06/2021,2021-06-10,2021-06-20,Em Aberto,2900.00,2610.00,145.00,145.00,,001,0001,0,ISS,2610.00,145.00,145.00
55443322000188,GUIA-202106-05,06/2021,2021-06-10,2021-06-20,Quitada,3200.00,2880.00,160.00,160.00,2021-06-18,001,0001,3200,ISS,2880.00,160.00,160.00
12345678000190,GUIA-202107-01,07/2021,2021-07-10,2021-07-20,Quitada,2000.00,1800.00,100.00,100.00,2021-07-18,001,0001,2000,ISS,1800.00,100.00,100.00
